Individual_ID,Scientific_Name,Plant_Nickname,Patch,Patch_Size,Shade_Status,Wild,Watered,Fertilized,Gender,Planting_Date,Plant_Comments,Plant_Registration_Date,Death_Date_Observed,Last_Date_Observed_Alive,Death_Reason,Death_Comments,Plant_Image_URL,Plant_Image_Upload_Date
2,Acer saccharum,Sugar maple 01,,,Forest canopy tree,1,0,0,,,,,,,,,,
7,Acer saccharum,Sugar maple 02,,,Forest canopy tree,1,0,0,,,,,,,,,,
13,Syringa chinensis,Cloned lilac-S,,,Mostly sun,0,1,1,,,,,,,,,,
14,Syringa chinensis,Cloned lilac-N,,,Mostly sun,0,1,1,,,,,,,,,,
15,Lonicera tatarica-arnoldred,A. R. honeysuckle-S,,,Mostly sun,0,1,1,,,cloned Lonciera tatarica 'Arnold Red',,,,,,,
16,Lonicera tatarica-arnoldred,A. R. honeysuckle-M,,,Mostly sun,0,1,1,,,cloned Lonciera tatarica 'Arnold Red',,,,,,,
17,Lonicera tatarica-arnoldred,A. R. honeysuckle-N,,,Mostly sun,0,1,1,,,cloned Lonciera tatarica 'Arnold Red',,,,,,,
56,Syringa vulgaris,Common lilac-ES,,,Half shade,0,1,1,,,,,,,,,,
57,Syringa vulgaris,Common lilac-NM,,,Mostly sun,0,1,1,,,,,,,,,,
59,Syringa vulgaris,Common lilac-NW,,,Mostly shade,0,1,1,,,,,,,,,,
60,Syringa vulgaris,Common lilac-EM,,,Half shade,0,1,1,,,,,,,,,,
61,Syringa vulgaris,Common lilac-EN,,,Half shade,0,1,1,,,,,,,,,,
430,Syringa vulgaris,Common lilac-1,,,Mostly sun,1,1,0,,--,,,,,,,,
519,Forsythia spp.,Forsythia 01,,,Half shade,0,0,0,,--,,,,,,,,
521,Syringa vulgaris,Lilac 01,,,Half shade,0,0,0,,,,,,,,,,
586,Syringa vulgaris,chicken coop lilac,,,Half shade,0,0,0,,--,,,,,,,,
624,Trillium erectum,Triere01,,,Mostly shade,1,0,0,,--,"near house, near kitchen door",,,,,,,
628,Vaccinium corymbosum,Vaccor01,,,Full sun,1,0,0,,,,,,,,,,
629,Erythronium americanum,Eryame01,,,Half shade,1,0,0,,,,,,,,,,
633,Syringa chinensis,cloned lilac--east,,,Full sun,0,1,1,,--,9 months since planting,,,,,,,
634,Syringa vulgaris,old-fashioned lilac--east,,,Full sun,0,1,1,,,30+ yrs old,,,,,,,
635,Cercis canadensis,redbud--garage,,,Full sun,1,0,1,,,"some young, some old",,,,,,,
637,Cornus florida,dogwood tree--south,,,Full sun,1,0,0,,,very old,,,,,,,
638,Acer rubrum,red maple--g.house,,,Full sun,0,0,1,,,"some young, some old",,,,,,,
639,Syringa vulgaris,Lilac,,,Full sun,0,0,0,,--,in front of brick house,,,,,,,
896,Syringa vulgaris,common lilac north,,,Mostly sun,0,0,0,,,,,,,,,,
897,Syringa chinensis,chinese lilac north,,,Half shade,0,0,0,,,,,,,,,,
898,Lonicera tatarica-arnoldred,honeysuckle east,,,Mostly sun,0,0,0,,,,,,,,,,
946,Syringa chinensis,uno,,,Mostly sun,0,0,0,,,,,,,,,,
947,Syringa chinensis,dos,,,Mostly sun,0,0,0,,,,,,,,,,
962,Prunus persica,Front yard Peach,,,Full sun,0,0,0,,2009-02-07,White Princess variety,,,,,,,
1069,Cercis canadensis,Redbud,,,Mostly sun,0,1,0,,2001-04-16,A section has looked ill for the past 3 years,,,,,,,
1183,Lonicera tatarica-arnoldred,honeysuckle west,,,Mostly sun,0,0,0,,,,,,,,,,
1184,Syringa vulgaris,common lilac south,,,Mostly sun,0,0,0,,,,,,,,,,
1185,Syringa chinensis,chinese lilac south,,,Half shade,0,0,0,,,,,,,,,,
1227,Syringa vulgaris,Common Lilac,,,Full sun,0,1,1,,,Organic fertilizer only,,,,,,,
1228,Malus pumila,Apple,,,Full sun,0,1,1,,,Organic fertilizer only,,,,,,,
1230,Amelanchier canadensis,Amelanchier,,,Full sun,0,1,1,,,Organic fertilizer only,,,,,,,
1270,Syringa chinensis,cloned lilac--west,,,Full sun,0,1,1,,--,9 months since planting,,,,,,,
1271,Syringa vulgaris,old-fashioned lilac--west,,,Full sun,0,0,1,,,30+ yrs old,,,,,,,
1272,Cercis canadensis,redbud--house,,,Mostly sun,0,0,0,,,30+ yrs old,,,,,,,
1273,Cornus florida,dogwood tree--north,,,Full sun,0,0,0,,,very old,,,,,,,
1274,Acer rubrum,red maple--east,,,Mostly sun,0,1,1,,,"6 yrs old, freemanii subspecies",,,,,,,
1375,Forsythia spp.,forsythia,1,20 ft2,Half shade,0,0,0,,--,,,,,,,,
1383,Cornus florida,dogwood,,,Forest understory tree,0,1,1,,--,,,,,,,,
1385,Fraxinus pennsylvanica,Green Ash,,,Full sun,0,1,1,,,,,,,,,,
1386,Prunus virginiana,Choke Cherry,,,Mostly sun,0,1,1,,,,,,,,,,
1387,Syringa vulgaris,Garage Lilac,,,Mostly sun,0,0,0,,,,,,,,,,
1487,Syringa chinensis,lilac 1 near porch,,,Mostly sun,0,1,1,,--,"first leaf March 6, 2009",,,,,,,
1488,Syringa chinensis,lilac 2 in yard,,,Half shade,0,1,1,,--,"first leaf May 6, 2009",,,,,,,
1489,Syringa vulgaris,generator side,,,Mostly sun,0,1,1,,,,,,,,,,
1490,Syringa vulgaris,welder side,,,Mostly sun,0,1,1,,,,,,,,,,
1803,Taraxacum officinale,first weed,,,Half shade,1,0,0,,--,weed in my garden,,,,,,,
1804,Fagus grandifolia,My &quot;baby&quot; - 30 feet,,,Mostly sun,1,0,0,,,small tree in back yard,,,,,,,
1845,Arctostaphylos uva-ursi,arctostaphylos1,,,Mostly sun,0,1,0,,--,,,,,,,,
1846,Ceanothus velutinus,ceanothus1,,,Mostly sun,0,1,0,,,,,2018-02-11,2018-02-02,,"Tried to transplant, and failed.",,
1847,Cornus canadensis,cornuscan1,,,Mostly shade,0,1,0,,,,,,,,,,
1848,Prunus virginiana,prunusvirg1,,,Mostly sun,0,1,0,,,,,,,,,,
1849,Symphoricarpos albus,symphor1,,,Mostly sun,0,1,0,,,,,,,,,,
1850,Syringa chinensis,north,,,Mostly sun,0,0,0,,,,,,,,,,
1851,Syringa chinensis,middle,,,Mostly sun,0,0,0,,,,,,,,,,
1852,Syringa chinensis,south,,,Mostly sun,0,0,0,,,,,,,,,,
1899,Syringa vulgaris,common lilac,,,Full sun,0,0,0,,--,,,,,,,,
1975,Forsythia spp.,forsythia eastmost,,,Half shade,0,0,0,,--,was there when we moved in 22 years ago,,,,,,,
1976,Cornus florida,dogwood lowbranch,,,Mostly sun,,0,0,,,was there when we moved in 22 years ago,,,,,,,
1977,Acer rubrum,SVmaple,,,Mostly sun,0,0,,,--,"In neighbor's yard, which faces east",,,,,,,
1978,Juglans nigra,Mywalnut,,,Full sun,,0,0,,,Tallest tree in west-facing back yard,,,,,,,
1980,Amelanchier canadensis,Serviceberry,,,Half shade,0,1,1,,,"Next to house, facing east, adjacent to brick wall.",,,,,,,
1981,Syringa chinensis,li,,,Mostly sun,0,1,0,,--,,,,,,,,
1982,Syringa chinensis,lac,,,Mostly sun,0,1,0,,,,,,,,,,
2058,Syringa vulgaris,White,,,Full sun,,1,0,,,,,,,,,,
2059,Syringa vulgaris,Purple,,,Mostly sun,,0,0,,,,,,,,,,
2099,Syringa vulgaris,Lilac 03,,,Half shade,0,0,0,,--,,,,,,,,
2100,Forsythia spp.,Forsythia 02,,,Half shade,0,0,0,,--,,,,,,,,
2101,Forsythia spp.,Forsythia 03,,,Mostly sun,0,0,0,,,,,,,,,,
2102,Acer saccharum,Sugar Maple 03,,,Open-grown tree,,0,0,,,,,,,,,,
2103,Fraxinus americana,White ash,,,Forest canopy tree,1,0,0,,,,,,,,,,
2104,Quercus rubra,Red oak,,,Open-grown tree,,0,0,,--,,,,,,,,
2105,Rhamnus cathartica,Buckthorn,,,Forest understory tree,1,0,0,,,,,,,,,,
